year,scenario_id,scenario_name,scenario_logic,scenario_mechanisms,A,Psi,sR,sO,sG,gen_total,informal,Q_HAUL,Q_HAUL_R,Q_HAUL_O,Q_HAUL_G,Q_MRF,Q_CMP,Q_WTE,Q_LF,Q_mat,Q_cmp,Q_comb,Q_ash,E_WTE,lambda_MRF,S_LF,S_ENV,gen_to_mun,mun_to_haul,tipping,rev_mat,rev_E,landfill_tax,net_MUN,net_HAUL,net_T,GHG_dir,GHG_net,E_net,D_climate,D_air,D_water,D_env,D_NC,D_LF,mass_residual
2034,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2858772.62,84233.6060205852,2774539.013979415,1005855.7623607337,928521.8963423849,840161.3552762964,1005855.7623607337,30000.0,1400000.0,951439.9803269014,704099.0336525135,18000.000000000004,1092000.0,308000.0,434000.0,0.3,7934730.932313103,778068.9447215027,179078074.3919412,194217730.97855905,169947671.8871671,28163961.34610054,19530000.0,57086398.81961408,-15139656.586617857,-81162423.43982582,23664283.22285533,1255127.9882595846,303419.05124181975,352825.68485115084,57649619.735945754,323039751.93507874,713579.9852451761,393073985.82709223,0.26350288461214544,0.6570817798801512,0.0
2035,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2902058.9400000004,85509.03548267407,2816549.9045173265,1021086.002813852,942581.1802640574,852882.721439417,1021086.002813852,30000.0,1400000.0,982789.70254763,714760.2019696964,18000.000000000004,1092000.0,308000.0,434000.0,0.3,8886170.912640005,862302.5507420879,181789598.48409283,197158493.31621286,171972065.21179706,28590408.078787856,19530000.0,58967382.152857795,-15368894.832120031,-81842468.26724261,22917338.47555156,1275499.5842035676,312063.3620369014,352364.3314309848,59292038.787011266,323143206.01840717,737092.2769107225,396106875.3434605,0.26335773450348726,0.6510661142657612,0.0
2036,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2946317.0,86813.09721993646,2859503.9027800635,1036658.1488357021,956956.0828051467,865889.6711392149,1036658.1488357021,30000.0,1400000.0,1014843.1985950721,725660.7041849914,18000.000000000004,1092000.0,308000.0,434000.0,0.3,9868960.615187636,947811.5862247619,184561993.91899905,200165273.19460446,174041904.39482468,29026428.167399656,19530000.0,60890591.915704325,-15603279.27560541,-82537779.50586264,22153625.472393617,1296328.5046473597,320901.7300438691,351892.62103031063,60971328.70833513,323248982.5553638,761132.3989463041,399198617.45601666,0.2632137355900233,0.6450981592966449,0.0
2037,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2991571.4400000004,88146.51724885861,2903424.9227511412,1052580.8699811173,971654.6069734356,879189.4457965886,1052580.8699811173,30000.0,1400000.0,1047618.3137643593,736806.608986782,18000.000000000004,1092000.0,308000.0,434000.0,0.3,10883803.813782707,1034624.6834446983,187396804.1855412,203239744.5925799,176158341.78765148,29472264.35947128,19530000.0,62857098.82586156,-15842940.407038689,-83248744.25961494,21372719.02781312,1317626.3457747921,329939.07588933187,351410.29103155585,62688424.41897306,323357140.4354224,785713.7353232695,402350648.84138924,0.26307090050843707,0.6391784386931252,4.656612873077393e-10
2038,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,3037843.8200000003,89509.93083386587,2948333.8891661344,1068861.7521105767,986683.7554007336,892788.3816548241,1068861.7521105767,30000.0,1400000.0,1081130.6626887308,748203.2264774037,18000.000000000004,1092000.0,308000.0,434000.0,0.3,11931422.127547067,1122771.200693557,190295379.8364904,206383372.24162942,178322385.69775385,29928129.059096146,19530000.0,64867839.76132385,-16087992.405139029,-83975701.24443753,20574247.1044377,1339403.2542467164,339179.70512157225,350917.1116443448,64444143.973098725,323467731.18687284,810847.9970165481,405564291.1673915,0.26292925279797646,0.633307928026258,0.0
2039,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,3085158.7800000003,90904.06399144443,2994254.716008555,1085509.464778913,1002051.5310948228,906693.7201348196,1085509.464778913,30000.0,1400000.0,1115398.0906633162,759856.6253452391,18000.000000000004,1092000.0,308000.0,434000.0,0.3,13012552.790235797,1212281.131527423,193259264.36072782,209597830.12059885,180535188.4765332,30394265.01380956,19530000.0,66923885.43979897,-16338565.759871036,-84719037.56425944,19757784.516698934,1361670.8262469626,348628.5383671996,350412.8202511051,66239422.28976792,323580813.69918895,836548.5679974871,408841001.52986574,0.26278880722417164,0.6274872392452369,4.656612873077393e-10
2040,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,3133536.34,92329.50660998933,3041206.8333900105,1102531.0519994288,1017764.4364995268,920911.3448910551,1102531.0519994288,30000.0,1400000.0,1150435.0969904107,771771.7363996,18000.000000000004,1092000.0,308000.0,434000.0,0.3,14127950.880899113,1303185.1955188673,196289711.84296957,212884478.33730075,182797686.4095034,30870869.455984004,19530000.0,69026105.81942464,-16594766.494331181,-85479067.74102305,18922985.801322475,1384438.4836748932,358289.573635333,349897.20347505936,68075018.99071327,323696435.82006836,862826.322742808,412182059.0663074,0.26264959279642786,0.6217175746287439,0.0
2041,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,3183004.22,93787.07545804747,3089217.1445419528,1119936.267021311,1033831.4749986005,935449.4025220412,1119936.267021311,30000.0,1400000.0,1186261.757627035,783955.3869149176,18000.000000000004,1092000.0,308000.0,434000.0,0.3,15278385.977889523,1395514.7021288567,199388458.70820698,216245200.1179367,185111175.89199108,31358215.476596706,19530000.0,71175705.4576221,-16856741.40972972,-86256227.26664859,18069372.62454392,1407719.2722373172,368168.34663090773,349369.9658714386,69951985.85987248,323814663.8001692,889696.3182202763,415589066.5101948,0.26251161668829864,0.6159992314807234,0.0
2042,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,3233583.9800000004,95277.4058000443,3138306.574199956,1137732.6957050385,1050259.6492238534,950314.229271064,1137732.6957050385,30000.0,1400000.0,1222893.687206429,796412.886993527,18000.000000000004,1092000.0,308000.0,434000.0,0.3,16464647.735516557,1489301.7775869041,202556855.50921124,219681460.1939969,187476665.2314726,31856515.479741078,19530000.0,73373621.23238574,-17124604.684785664,-87050854.85707402,17196572.948990867,1431523.3385950862,378269.16290220665,348830.8776498671,71871140.95141926,323935549.16778123,917170.2654048217,419063387.04840887,0.2623749042757043,0.61033326149209,0.0
2043,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,3285301.8,96801.26902849635,3188500.530971504,1155929.5494526217,1067057.4623710543,965513.5191478278,1155929.5494526217,30000.0,1400000.0,1260349.8463546685,809150.6846168352,18000.000000000004,1092000.0,308000.0,434000.0,0.3,17687541.422722988,1584579.1833869484,205796542.20291865,223195037.16800526,189895378.8013121,32366027.38467341,19530000.0,75620990.78128012,-17398494.96508661,-87863361.81022398,16304135.014996931,1455863.0036935194,388597.2506150005,348279.6597791742,73833477.6168501,324059154.4929704,945262.3847660014,422606582.2453907,0.26223946851972724,0.6047202018277059,-4.656612873077393e-10
