year,scenario_id,scenario_name,scenario_logic,scenario_mechanisms,A,Psi,sR,sO,sG,gen_total,informal,Q_HAUL,Q_HAUL_R,Q_HAUL_O,Q_HAUL_G,Q_MRF,Q_CMP,Q_WTE,Q_LF,Q_mat,Q_cmp,Q_comb,Q_ash,E_WTE,lambda_MRF,S_LF,S_ENV,gen_to_mun,mun_to_haul,tipping,rev_mat,rev_E,landfill_tax,net_MUN,net_HAUL,net_T,GHG_dir,GHG_net,E_net,D_climate,D_air,D_water,D_env,D_NC,D_LF,mass_residual
2034,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,50.0,0.0,0.3750604930583694,0.33196709257252455,0.26714148717659103,2858772.62,73844.7474071756,2784927.8725928245,1072212.6683989665,949018.4349873385,763696.7692065196,1072212.6683989665,30000.0,1400000.0,732125.6742366434,933802.1983561812,18000.000000000004,1092000.0,308000.0,434000.0,0.12908863523265457,6658419.930584295,702189.1817535444,174346073.09804276,194944951.08149773,160972663.76380116,37352087.93424725,19530000.0,43927540.4541986,-20598877.983454973,-71854971.84083076,40196625.9939699,1120636.0894835906,-83746.32870820886,352595.11826083745,-15911802.454559684,322316014.72498095,549094.2556774826,317486144.2524019,0.3450007477075716,0.7371114413979348,0.0
2035,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,55.0,0.0,0.3752554848480579,0.3320609414677109,0.2669004198943849,2902058.9400000004,74824.23195721857,2827234.708042782,1089013.534587341,963660.4238111873,774560.7496442536,1089013.534587341,30000.0,1400000.0,752354.1451793661,955880.5628634158,18000.000000000004,1092000.0,308000.0,434000.0,0.12225097989656591,7390545.604820938,776033.92916072,176945245.03492087,197906429.56299472,162488113.29658854,38235222.514536634,19530000.0,45141248.710761964,-20961184.528073847,-72016602.63921952,40287759.760322124,1134148.3613235955,-94520.25782616204,352157.95858235634,-17958848.986970786,322382768.67909193,564265.6088845246,316628694.23841643,0.3476473177367851,0.7338904537924973,0.0
2036,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,60.0,0.0,0.3754030560298148,0.3321319084844857,0.26671799562684406,2946317.0,75858.94123582366,2870458.058764177,1106056.405832596,978565.8882102845,785835.7647212964,1106056.405832596,30000.0,1400000.0,774108.7421209768,977349.3166432,18000.000000000004,1092000.0,308000.0,434000.0,0.11636575540874905,8142899.750000304,850858.1611179386,179612484.76316068,200932064.11349237,164087129.28102672,39093972.665728,19530000.0,46446524.527258605,-21319579.350331694,-72232471.40057307,40299884.662330836,1148625.4191131203,-103658.82919439976,351708.3281727432,-19695177.546935953,322454558.84899926,580581.5565907327,316102835.2754231,0.34989165355567126,0.7303187413738924,0.0
2037,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,65.0,0.0,0.3755141393557123,0.3321852952177319,0.2665806866442468,2991571.4400000004,76942.8548054178,2914628.585194583,1123377.374612729,993756.0419613353,797495.1686205182,1123377.374612729,30000.0,1400000.0,797283.4446140225,998345.1405805601,18000.000000000004,1092000.0,308000.0,434000.0,0.111300295749033,8917008.492121281,926717.1023537623,182347365.6308329,204024000.9636208,165765493.46908298,39933805.6232224,19530000.0,47837006.67684135,-21676635.3327879,-72497378.74285632,40241998.18866795,1164002.7119308673,-111376.94270774885,351246.0352846753,-21161619.11447228,322531035.36722624,597962.5834605169,315868135.37152094,0.35179272782439525,0.7264545305484282,0.0
2038,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,70.0,0.0,0.37559741830425536,0.3322253003987889,0.26647775190529993,3037843.8200000003,78071.15653935011,2959772.66346065,1141006.296003537,1009248.5756641044,809517.7917930087,1141006.296003537,30000.0,1400000.0,821786.0533744029,1018986.6100862473,18000.000000000004,1092000.0,308000.0,434000.0,0.10694041421565602,9714291.936735304,1003659.9571591801,185149637.72057766,207184086.4422455,167519491.54882628,40759464.40344989,19530000.0,49307163.20246418,-22034448.721667856,-72806766.31808546,40121921.055328116,1180224.0689641102,-117861.20213076193,350770.94381305727,-22393628.40484477,322611893.9761355,616339.5400308021,315889504.46870923,0.353400996974967,0.7223482521074618,-4.656612873077393e-10
2039,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,75.0,0.0,0.37565966277344737,0.33225519063386505,0.26640081937931176,3085158.7800000003,79240.22761073944,3005918.5523892604,1158969.7068973402,1025060.0185846426,821888.8269072778,1158969.7068973402,30000.0,1400000.0,847540.4138911952,1039378.1384980654,18000.000000000004,1092000.0,308000.0,434000.0,0.10318782940361015,10536077.990109706,1081731.1136985302,188019560.1649263,210414298.66724822,169346111.90147996,41575125.53992262,19530000.0,50852424.833471715,-22394738.50232193,-73156718.22502363,39946362.519244075,1197243.2290363265,-123272.72331154556,350282.9037925972,-23421817.429193657,322696883.3658409,635655.3104183964,316136687.95254356,0.35475949195311784,0.7180427882127658,0.0
2040,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,80.0,0.0,0.3757060799510436,0.3322774746469393,0.26634345069886,3133536.34,80447.2618589703,3053089.07814103,1177288.6546855406,1041203.541769613,834596.8816858763,1177288.6546855406,30000.0,1400000.0,874479.7836107946,1059609.2945302352,18000.000000000004,1092000.0,308000.0,434000.0,0.09995794972367075,11383618.4040009,1160971.3413092697,190957380.26134866,213716235.4698721,171242648.82110596,42384371.78120941,19530000.0,52468787.016647674,-22758855.208523422,-73543798.320593,39721136.0814039,1215019.5751045188,-127750.64887874015,349781.8279882352,-24272623.286960628,322785783.2859156,655859.8377080959,316583589.95630217,0.35590487755825706,0.7135754112542143,-4.656612873077393e-10
2041,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,85.0,0.0,0.37574063567793226,0.33229406095807584,0.26630074297789996,3183004.22,81690.40401337581,3101313.815986625,1195984.0289883409,1057693.3983104927,847636.3886877911,1195984.0289883409,30000.0,1400000.0,902553.0829260709,1079760.7330605537,18000.000000000004,1092000.0,308000.0,434000.0,0.09717796652025369,12258098.187611695,1241418.60316824,193964033.8307153,217091967.11906374,173207175.01595378,43190429.32242215,19530000.0,54153184.97556426,-23127933.288348436,-73965132.9043818,39451151.27506797,1233522.2992337302,-131414.507132879,349267.55400560284,-24968756.35524701,322878425.17365605,676914.8121945532,317207862.67812717,0.35686834636193,0.7089771830655776,0.0
2042,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,90.0,0.0,0.3757663285592387,0.3323063914214321,0.26626898945605554,3233583.9800000004,82968.23731958709,3150615.7426804136,1215071.980252571,1074540.6237519523,861003.1386758902,1215071.980252571,30000.0,1400000.0,931714.6186467351,1099901.1240336783,18000.000000000004,1092000.0,308000.0,434000.0,0.09478521280274495,13160651.270537766,1323109.0071816158,197040255.65204838,220543101.98762897,175237890.33991387,43996044.96134713,19530000.0,55902877.118804105,-23502846.335580587,-74418186.57414062,39140673.40744855,1252723.7393062334,-134367.49713081284,348739.9873017149,-25529824.45485444,322974658.24153423,698785.9639850513,317990254.8583891,0.3576764721790406,0.70427538781544,-4.656612873077393e-10
2043,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,95.0,0.0,0.3757854138018751,0.33231554977273886,0.26624540252884765,3285301.8,84279.92961683846,3201021.870383161,1234568.496377045,1091756.8738363686,874696.5001697477,1234568.496377045,30000.0,1400000.0,961929.664490488,1120092.2058926732,18000.000000000004,1092000.0,308000.0,434000.0,0.09272575059246446,14092365.889184501,1406077.2445012028,200187198.56557247,224071530.9268213,177333538.11583576,44803688.235706925,19530000.0,57715779.86942928,-23884332.36124882,-74900838.26357459,38793307.49665464,1272603.089967391,-136698.33651454956,348198.9817500067,-25972683.937764417,323074367.89281857,721447.248367866,318914289.87094,0.3583518802248504,0.699492942116217,0.0
2044,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,100.0,0.0,0.375799580855141,0.3323223475080785,0.2662278940188146,3338183.8600000003,85625.00893042721,3252558.8510695724,1254488.0954053965,1109353.0967687787,888717.6588953973,1254488.0954053965,30000.0,1400000.0,993170.4059025842,1140388.4451669885,18000.000000000004,1092000.0,308000.0,434000.0,0.09095315504093007,15054295.553674988,1490357.1741180413,203406121.13314852,227679119.57487008,179493163.1572911,45615537.80667954,19530000.0,59590224.35415505,-24272998.44172156,-75411279.92306478,38412133.12306215,1293143.7963337537,-138483.49334993376,347644.38606237917,-26311863.736487415,323177462.3394785,744877.8044269382,319965834.01918864,0.358913857863972,0.6946495201536508,9.313225746154785e-10
